DC,199.88004682235626
WA,100
MA,67.37275769282178
OR,61.629395843113166
CO,60.838289672213754
NY,58.69778630336917
CA,53.81199330228763
UT,39.52703745256665
IL,28.35881475007593
NC,25.121044565308704
NM,22.130499206991452
DE,21.97567030612066
MN,21.80875807012132
NH,21.366708226640487
AZ,20.565917777566263
MD,20.357877515711127
VT,19.539045296119795
PA,18.959346468102574
TX,18.647588030736394
VA,18.3745264659985
GA,16.34739861310959
TN,15.887611737926582
MO,15.874474921615093
WI,15.39938938538731
KS,14.378953305745462
MI,13.65981329868978
NJ,13.592011926276202
IA,12.856272202566494
OH,12.78279021242629
ID,12.116140745932649
FL,11.430294405321078
HI,10.881887012379918
IN,10.875816859280695
AR,10.04410591901239
MT,9.700680792617664
LA,9.398455800640532
CT,9.194102427380667
OK,8.820429610776443
NV,8.490236025373212
KY,8.215879768593691
SC,6.587466354706631
AL,5.797815593098651
SD,0
RI,0
MS,0
ME,0
ND,0
AK,0
WV,0
NE,0
WY,0
